STOCK CODE;LISTING DATE;Month;BOOK BUILD DATE;S & P;kospi;NAME;MKT;MKT_Dummy;BOOK BUILD DATE;LOWER BAND;UPPER BAND; TOTAL SHARES ; MKT CAP (BN) ; IPO SHARES ; IPO SIZE (BN) ; IPO PRICE ;Discount on the Band Price; DAY 1 OPEN 
900250;01/28/16;1;01/14/16;1.75%;1.45%;CHINA CRYSTAL;KQ;0;01/14/16;2900;4200;61622771;226;9300000;28;3000;100;4000
142210;02/02/16;2;01/14/16;-3.10%;0.52%;UNITRONTECH;KQ;0;01/14/16;12300;14000;9931950;84;655000;9;14000;1700;25300
226350;02/03/16;2;01/20/16;-3.10%;0.52%;IM TECH;KQ;0;01/20/16;6500;7500;16955500;90;4300000;32;7500;1000;9500
194370;02/04/16;2;01/20/16;-3.10%;0.52%;JS CORP;KS;1;01/20/16;19000;23000;13157051;215;3283132;76;23000;4000;39100
65660;02/15/16;2;01/27/16;2.84%;4.57%;ANTEROGEN;KQ;0;01/27/16;17000;22000;7463435;155;600000;14;24000;7000;38000
115180;02/29/16;2;02/15/16;2.67%;1.92%;QURIENT;KQ;0;02/15/16;18000;21000;7227262;255;1408000;30;21000;3000;33900
211270;03/04/16;3;02/15/16;2.67%;1.92%;APSI;KQ;0;02/15/16;8700;9700;15014804;131;3258000;32;9700;1000;12400
222110;03/11/16;3;02/23/16;1.11%;0.93%;PANGEN;KQ;0;02/23/16;12500;16500;9048515;152;1500000;25;16500;4000;24900
4440;03/30/16;3;03/15/16;1.81%;-0.59%;DAELIM C&S;KS;1;03/15/16;23500;27700;12731947;262;4456181;123;27700;4200;24950
228340;04/06/16;4;03/23/16;-1.21%;-0.24%;TONGYANG PILE;KQ;0;03/23/16;10000;11600;20000000;149;8000000;80;10000;0;9000
225330;04/07/16;4;03/24/16;-1.21%;-0.24%;CMS EDU;KQ;0;03/24/16;19000;23200;4226182;109;1240000;29;23200;4200;26800
228850;04/11/16;4;03/24/16;1.62%;2.80%;RAYENCE;KQ;0;03/24/16;22000;25000;16591014;276;4000000;100;25000;3000;23800
101530;05/11/16;5;04/28/16;-0.51%;-1.11%;HAITAI CONFECTIONERY & FOOD;KS;1;04/28/16;12300;5100;29116822;537;5830000;88;15100;2800;18950
70960;05/27/16;5;05/18/16;2.28%;1.30%;YONG PYONG RESORT CORPORATION;KS;1;05/18/16;8100;9200;48133333;398;16720000;117;7000;-1100;9000
148250;06/22/16;6;06/14/16;-1.63%;-1.00%;RN2 TECHNOLOGIES;KQ;0;06/14/16;5100;5800;6328942;33;670000;4;5800;700;12500
144510;06/23/16;6;06/16/16;-1.63%;-1.00%;GREEN CROSS LAB CELL CORPORATION;KQ;0;06/16/16;13600;15900;10554054;240;2000000;37;18500;4900;37000
237690;06/23/16;6;06/16/16;-1.63%;-1.00%;ST PHARM;KQ;0;06/16/16;24000;27000;18484400;812;4664000;135;29000;5000;47000
195870;06/24/16;6;06/16/16;-1.63%;-1.00%;HAESUNG DS;KS;1;06/16/16;12000;15000;17000000;183;4000000;48;12000;0;16700
900260;06/30/16;6;06/20/16;3.22%;3.06%;ROTHWELL INTERNATIONAL;KQ;0;06/20/16;2100;3200;90781250;237;30000000;96;3200;1100;3915
237750;07/04/16;7;06/23/16;1.28%;-1.25%;PNC TECHNOLOGIES;KQ;0;06/23/16;9000;10200;6496600;56;2650000;27;10200;1200;11000
142760;07/07/16;7;06/28/16;1.28%;-1.25%;BIOLEADERS;KQ;0;06/28/16;11000;15000;12354310;70;1200000;18;15000;4000;17100
123890;07/13/16;7;07/01/16;1.49%;3.12%;KOREA ASSET IN TRUST;KS;1;07/01/16;9100;10300;85000000;740;27297345;281;10300;1200;9900
71460;07/14/16;7;07/05/16;1.49%;3.12%;DAEYOU WINIA;KQ;0;07/05/16;6800;8300;24111530;104;7500000;51;6800;0;7900
174880;07/15/16;7;07/08/16;1.49%;3.12%;JANGWONTECH;KQ;0;07/08/16;15000;17500;6045000;52;1500000;26;17500;2500;22250
123010;07/20/16;7;07/12/16;0.61%;-0.39%;OPTOPAC;KQ;0;07/12/16;5000;5900;4605732;24;700000;4;5900;900;6210
73560;07/27/16;7;07/19/16;-0.07%;0.58%;WOORISON F&G;KQ;0;07/19/16;1935;2210;69237643;145;18211530;40;2210;275;4000
